rental_ID,user_ID,user_role,gadget_ID,gadget_name,gadget_category,rental_date,return_date,duration_days,daily_rate,total_cost,event_type,recommended_gadget,specific_event,event_priority,event_start_date,event_end_date,days_until_event,days_since_event_start,is_event_day,brand,gadget_subcategory,day_of_week,is_weekend,week_of_season,month,season,hour_of_day,time_period,is_holiday_season,year_level,course,major,has_personal_laptop,total_previous_rentals,avg_rental_duration,preferred_category,price_tier,spec_ram,spec_storage,spec_processor,battery_life,weight_kg,display_size,calculator_type,camera_megapixels,condition,rental_status,late_fee
R00001,U0683,Faculty,G029,Gadget_29,Camera,2024-04-04 00:00:00,2024-04-05 00:00:00,1,161,161,Regular Week,Laptop,Regular Week,0,2024-04-01 00:00:00,2024-04-06 00:00:00,-3,3,TRUE,Canon,DSLR,Thursday,FALSE,14,April,Dry,11,Morning,TRUE,,Engineering,Programming,FALSE,13,1,Camera,Budget,,,,16,1.52,11.6,,48,Excellent,Returned,0
R00002,U0176,Staff,G006,Gadget_6,Camera,2024-07-08 00:00:00,2024-07-15 00:00:00,7,151,1057,Regular Week,Laptop,Regular Week,0,2024-07-06 00:00:00,2024-07-11 00:00:00,-2,2,TRUE,Canon,DSLR,Monday,FALSE,28,July,Rainy,9,Morning,FALSE,,BSIT,Data Science,FALSE,17,4,Camera,Mid-range,,,,5,1.99,15.7,,48,Fair,Returned,0
R00003,U0550,Staff,G042,Gadget_42,Laptop,2024-10-26 00:00:00,2024-10-28 00:00:00,2,219,438,Exam Week,Scientific Calculator,Exam Week,7,2024-10-25 00:00:00,2024-10-30 00:00:00,-1,1,TRUE,Dell,Ultrabook,Saturday,TRUE,43,October,Rainy,17,Afternoon,FALSE,,BSCS,Data Science,FALSE,13,3.333333333,Laptop,Premium,32GB,512GB,M2,14,1.23,14.6,,,Excellent,Returned,0
R00004,U0502,Faculty,G030,Gadget_30,Laptop,2024-09-12 00:00:00,2024-09-18 00:00:00,6,170,1020,Regular Week,Laptop,Regular Week,0,2024-09-08 00:00:00,2024-09-13 00:00:00,-4,4,TRUE,Dell,Ultrabook,Thursday,FALSE,37,September,Rainy,15,Afternoon,FALSE,,BSCS,Networking,FALSE,1,5,Laptop,Mid-range,16GB,512GB,Intel i5,17,2.82,13.1,,,Good,Returned,0
R00005,U1000,Student,G006,Gadget_6,Camera,2024-02-18 00:00:00,2024-02-20 00:00:00,2,151,302,Regular Week,Laptop,Regular Week,0,2024-02-16 00:00:00,2024-02-21 00:00:00,-2,2,TRUE,Canon,DSLR,Sunday,TRUE,7,February,Dry,13,Afternoon,FALSE,2,BSIS,Programming,FALSE,13,3.333333333,Camera,Mid-range,,,,12,1.78,11.4,,48,Good,Returned,0
R00006,U0239,Staff,G028,Gadget_28,Tablet,2024-05-02 00:00:00,2024-05-04 00:00:00,2,345,690,Regular Week,Laptop,Regular Week,0,2024-05-01 00:00:00,2024-05-06 00:00:00,-1,1,TRUE,Apple,iPad,Thursday,FALSE,18,May,Dry,16,Afternoon,FALSE,,BSIS,Data Science,FALSE,17,3.333333333,Tablet,Premium,,,,15,2.62,11.3,,,Good,Returned,0
R00007,U0558,Staff,G002,Gadget_2,Projector,2024-04-28 00:00:00,2024-04-30 00:00:00,2,98,196,Regular Week,Laptop,Regular Week,0,2024-04-24 00:00:00,2024-04-29 00:00:00,-4,4,TRUE,Epson,HD Projector,Sunday,TRUE,17,April,Dry,10,Morning,TRUE,,BSIT,Programming,FALSE,9,2,Projector,Premium,,,,10,2.65,15.1,,,Excellent,Returned,0
R00008,U0677,Student,G010,Gadget_10,Camera,2024-03-09 00:00:00,2024-03-11 00:00:00,2,463,926,Exam Week,Scientific Calculator,Exam Week,7,2024-03-08 00:00:00,2024-03-13 00:00:00,-1,1,TRUE,Canon,DSLR,Saturday,TRUE,10,March,Dry,15,Afternoon,FALSE,3,Engineering,Data Science,TRUE,4,2,Camera,Budget,,,,16,1.7,13.4,,32,Good,Returned,0
R00009,U0650,Student,G026,Gadget_26,Camera,2024-08-17 00:00:00,2024-08-22 00:00:00,5,284,1420,Regular Week,Laptop,Regular Week,0,2024-08-13 00:00:00,2024-08-18 00:00:00,-4,4,TRUE,Canon,DSLR,Saturday,TRUE,33,August,Rainy,13,Afternoon,FALSE,2,BSCS,Programming,TRUE,11,3,Camera,Premium,,,,6,2.34,15.9,,24,Fair,Returned,0
R00010,U0274,Staff,G003,Gadget_3,Camera,2024-01-24 00:00:00,2024-01-31 00:00:00,7,355,2485,Regular Week,Laptop,Regular Week,0,2024-01-21 00:00:00,2024-01-26 00:00:00,-3,3,TRUE,Canon,DSLR,Wednesday,FALSE,4,January,Dry,11,Morning,FALSE,,BSIT,Networking,FALSE,14,4.666666667,Camera,Budget,,,,15,2.92,12.3,,24,Fair,Returned,0
